Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_1143,,putative amidohydrolase,334,0,75,128,81.66259169,100,inf,1.40E-70,8.23E-67,9.57E-69,1,1,0,1,1
group_3133,,Putative uncharacterized protein,75,128,334,0,18.33740831,0,0,1.40E-70,8.23E-67,9.57E-69,1,0,1,1,1
group_3139,,putative LysE family transporter protein,402,31,7,97,98.28850856,75.78125,179.6958525,9.62E-70,5.64E-66,6.48E-68,1,1,1,1,1
group_3490,,hypothetical protein,77,128,332,0,18.82640587,0,0,1.00E-69,5.88E-66,6.69E-68,1,0,1,1,1
group_1089,,hypothetical protein,331,0,78,128,80.92909535,100,inf,2.65E-69,1.55E-65,1.75E-67,1,1,0,1,1
torZ,,molybdopterin containing oxidoreductase,0,87,409,41,0,32.03125,0,5.71E-69,3.35E-65,3.68E-67,1,0,1,1,1
group_1410,,"Adhesive protein CupB5, putative",0,87,409,41,0,32.03125,0,5.71E-69,3.35E-65,3.68E-67,1,0,1,1,1
group_562,,"D12 class N6 adenine-specific DNA methyltransferase, putative",332,1,77,127,81.17359413,99.21875,547.5844156,2.09E-67,1.23E-63,1.32E-65,1,1,1,1,1
group_2414,,putative SAM-dependent methyltransferase,77,127,332,1,18.82640587,0.78125,0.001826202,2.09E-67,1.23E-63,1.32E-65,1,1,1,1,1
torC,,"trimethylamine N-oxide reductase, cytochrome c-type subunit",1,87,408,41,0.244498778,32.03125,0.00115506,4.57E-67,2.68E-63,2.85E-65,1,1,1,1,1
group_3003,,arsenate reductase,0,85,409,43,0,33.59375,0,6.44E-67,3.78E-63,3.93E-65,1,0,1,1,1
group_3549,,membrane protein,0,85,409,43,0,33.59375,0,6.44E-67,3.78E-63,3.93E-65,1,0,1,1,1
acpP3,,Putative acyl carrier protein,409,44,0,84,100,65.625,inf,6.63E-66,3.89E-62,3.81E-64,1,1,0,1,1
group_3105,,"Capsule biosynthesis protein, putative",0,84,409,44,0,34.375,0,6.63E-66,3.89E-62,3.81E-64,1,0,1,1,1
group_2489,,Putative uncharacterized protein,0,84,409,44,0,34.375,0,6.63E-66,3.89E-62,3.81E-64,1,0,1,1,1
group_2426,,Putative uncharacterized protein,0,84,409,44,0,34.375,0,6.63E-66,3.89E-62,3.81E-64,1,0,1,1,1
group_2498,maf-5,Motility accessory factor,0,84,409,44,0,34.375,0,6.63E-66,3.89E-62,3.81E-64,1,0,1,1,1
acpP4,,Putative acyl carrier protein,0,84,409,44,0,34.375,0,6.63E-66,3.89E-62,3.81E-64,1,0,1,1,1
group_2261,,putative acyl carrier protein,328,1,81,127,80.19559902,99.21875,514.2716049,9.41E-66,5.51E-62,5.30E-64,1,1,1,1,1
group_717,,putative amino acid activating enzyme,328,1,81,127,80.19559902,99.21875,514.2716049,9.41E-66,5.51E-62,5.30E-64,1,1,1,1,1
group_72,,hypothetical protein (617 family),322,0,87,128,78.72860636,100,inf,1.18E-65,6.92E-62,6.59E-64,1,1,0,1,1
group_375,,Putative uncharacterized protein,82,127,327,1,20.04889976,0.78125,0.001974524,2.39E-65,1.40E-61,1.32E-63,1,1,1,1,1
group_1665,,Arsenical-resistance protein ACR3,1,85,408,43,0.244498778,33.59375,0.001239908,5.02E-65,2.94E-61,2.75E-63,1,1,1,1,1
group_1196,,Putative uncharacterized protein,59,121,350,7,14.42542787,5.46875,0.009752066,5.16E-65,3.03E-61,2.80E-63,1,1,1,1,1
fabH2,,"3-oxoacyl-(acyl-carrier-protein) synthase, putative",409,45,0,83,100,64.84375,inf,6.69E-65,3.92E-61,3.47E-63,1,1,0,1,1
acpP2,,putative acyl carrier protein,409,45,0,83,100,64.84375,inf,6.69E-65,3.92E-61,3.47E-63,1,1,0,1,1
group_1854,,putative SAM domain containing methyltransferase,409,45,0,83,100,64.84375,inf,6.69E-65,3.92E-61,3.47E-63,1,1,0,1,1
group_2259,,hypothetical protein,409,45,0,83,100,64.84375,inf,6.69E-65,3.92E-61,3.47E-63,1,1,0,1,1
