Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_3258,,Cytochrome c family protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_3261,,putative periplasmic protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
rbr,,Rubrerythrin,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_3274,,"lipoprotein, putative",355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_3278,,Sua5 YciO YrdC YwlC family protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_3279,,putative integral membrane protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_3281,,Putative uncharacterized protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_3282,,putative efflux pump,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
fliY,,flagellar motor switch protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
argD,,Acetylornithine aminotransferase,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_1425,,Putative uncharacterized protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_1553,,"Non-heme iron protein, hemerythrin family",355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_2218,,Putative transmembrane protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
pseG,,"nucleotidase specific for PseC product,UDP-4-amino-4,6-dideoxy-beta-L-AltNAc",355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
pseF,,putative acylneuraminate cytidylyltransferase,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
proB,,gamma-glutamyl kinase,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_2093,,Putative integral memnbrane protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_2265,,"Major facilitator family transporter, putative",355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_2756,,Methyl-accepting chemotaxis protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
murG,,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
flgD,,Flagellar hook assembly protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_1433,,hypothetical protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
group_2006,,Putative outer membrane protein,355,128,54,0,86.79706601,0,0,2.70E-07,0.001581435,1.44E-06,1,0,1,1,1
astA_2,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1554,proB,gamma-glutamyl kinase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2219,,Putative transmembrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
kgtP_1,,alpha-ketoglutarate permease,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2356,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2373,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
ptmF,,Legionaminic acid biosynthesis protein PtmF,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3403,maf3,motility accessory factor,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1591,,putative integral membrane component of efflux system,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1594,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1596,argD,acetylornithine aminotransferase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1597,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1611,maf7,motility accessory factor,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1613,,"4-carboxymuconolactone decarboxylase, putative",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1927,,putative efflux pump,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1929,,"lipooligosaccharide biosynthesis glycosyltransferase, putative",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2270,,methyl-accepting chemotaxis protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2321,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2337,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2344,,Putative transcriptional regulatory protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2347,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2352,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2357,,MOSC domain protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2358,,HAD family hydrolase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2359,,anaerobic dimethyl sulfoxide reductase chain A,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2364,,MCP-domain signal transduction protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2367,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2368,sdhC,"Succinate dehydrogenase, subunit C",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2874,,"membrane protein, putative",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2891,,Cytochrome c family protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2894,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2901,,MOSC domain protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2902,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
kgtP_2,,Dicarboxylic acid transport protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2912,,cystathionine beta-lyase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2916,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2919,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
tonB,,"Ferric siderophore transport system, periplasmic binding protein TonB",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2922,,putative HAMP containing membrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3302,pseG,"UDP-6-deoxy-AltdiNAc hydrolase, PseG",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
neuA,,CMP-N-acetylneuraminic acid synthetase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3305,porA,major outer membrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3306,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3307,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3330,,Putative lipoprotein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3331,,integral membrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3332,,Major facilitator family transporter,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3333,,Sua5 YciO YrdC YwlC family protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3334,,putative integral membrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3335,torC,"trimethylamine N-oxide reductase, cytochrome c-type subunit",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3337,,dihydroorotase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3339,,"Ferric siderophore transport system, biopolymer transport protein ExbD",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
exbB1,,TonB system transport protein ExbB,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3341,,TonB-dependent colicin receptor protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3344,,Putative integral memnbrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3354,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3356,,"Adhesive protein CupB5, putative",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3372,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3374,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3377,,putative manganese transport system substrate-binding protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3378,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
fliN_2,,flagellar motor switch protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3380,,Putative iron-binding protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3388,,"putative molybdopterin converting factor, subunit 1",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3390,,Allophanate hydrolase subunit 2,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3391,,Blc protein-like protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
cfrA,,Ferric receptor CfrA,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
fucP_2,,L-fucose permease,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
pgl,,6-phosphogluconolactonase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
zwf,,Glucose-6-phosphate 1-dehydrogenase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
ilvD_2,,Dihydroxy-acid dehydratase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
eda,,KHG/KDPG aldolase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3402,maf-5,Motility accessory factor,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_554,,Methyl-accepting chemotaxis protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_597,,Major facilitator family transporter,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_731,hydA2,Quinone-reactive Ni/Fe-hydrogenase small chain,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1871,,putative membrane protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3604,,methyltransferase domain-containing protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
fspA2,,FspA2,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1697,,putative glycosyl transferase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3336,,putative cytochrome C-type hem-binding periplasmic protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_306,csn1,Hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
dmsA_1,,Dimethyl sulfoxide reductase DmsA,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_2469,,Putative uncharacterized protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3049,,putative periplasmic protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
sdhA_1,,succinate dehydrogenase flavoprotein subunit,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3707,,anaerobic dimethyl sulfoxide reductase chain A,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3724,,"Cytochrome c, putative",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_1699,,putative sugar transferase,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_318,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
torZ_2,,Trimethylamine-N-oxide reductase 2,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3048,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3051,,"C4-dicarboxylate anaerobic carrier, putative",54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3071,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3784,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_3785,,hypothetical protein,54,0,355,128,13.20293399,100,inf,2.70E-07,0.001581435,1.44E-06,1,1,0,1,1
group_100,,putative type IIS restriction/modification enzyme,157,19,252,109,38.38630807,85.15625,3.574143693,2.96E-07,0.001737925,1.58E-06,1,1,1,1,1
group_234,,Glycerol-3-phosphate transporter,50,42,359,86,12.22493888,67.1875,0.285183711,3.57E-07,0.002094582,1.90E-06,1,1,1,1,1
group_1051,,Putative transmembrane transport protein,366,89,43,39,89.48655257,30.46875,3.729814476,3.59E-07,0.002106059,1.91E-06,1,1,1,1,1
group_150,,Putative outer-membrane protein,62,1,347,127,15.15892421,99.21875,22.69164265,3.86E-07,0.002265071,2.05E-06,1,1,1,1,1
group_3928,,hypothetical protein,62,1,347,127,15.15892421,99.21875,22.69164265,3.86E-07,0.002265071,2.05E-06,1,1,1,1,1
group_1049,,Putative transmembrane transport protein,37,36,372,92,9.046454768,71.875,0.254181601,4.19E-07,0.002458338,2.22E-06,1,1,1,1,1
group_40,pseD,PseD protein,0,10,409,118,0,92.1875,0,4.49E-07,0.002632736,2.38E-06,1,0,1,1,1
group_3317,,"tail protein X, putative",52,0,357,128,12.71393643,100,inf,4.67E-07,0.002737931,2.47E-06,1,1,0,1,1
group_2928,maf6,motility accessory factor,52,0,357,128,12.71393643,100,inf,4.67E-07,0.002737931,2.47E-06,1,1,0,1,1
group_134,,putative sugar transferase,52,0,357,128,12.71393643,100,inf,4.67E-07,0.002737931,2.47E-06,1,1,0,1,1
group_598,,hypothetical protein,52,0,357,128,12.71393643,100,inf,4.67E-07,0.002737931,2.47E-06,1,1,0,1,1
kgtP,,Alpha-ketoglutarate permease,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
group_1416,,Putative uncharacterized protein,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
group_2154,,multidrug efflux system outer membrane protein,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
kdpB,,Potassium-transporting ATPase B chain,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
group_2734,,Integral membrane protein,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
argA,,"Acetyltransferase, GNAT family",356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
sdhB_2,,"succinate dehydrogenase, iron-sulfur protein subunit",356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
group_2552,,Potassium-transporting ATPase C chain,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
group_2243,,putative signal-transduction sensor protein,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
cetA,,methyl-accepting chemotaxis protein,356,128,53,0,87.04156479,0,0,5.10E-07,0.002987091,2.58E-06,1,0,1,1,1
group_534,pabB,Para aminobenzoate synthase component I,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2567,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_632,,transporter,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1584,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1586,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1587,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2339,,phage uncharacterized protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2341,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2881,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2882,,"Mu-like prophage I protein, putative",53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2883,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2884,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2885,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2887,,DnaB-like protein helicase-like protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3316,,"phage tail protein, putative",53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2290,,cytochrome C,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_166,,hemoglobin protease,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
cysE_2,,serine acetyltransferase,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1939,,hemerythrin family non-heme iron protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
sdhA_2,,"succinate dehydrogenase, flavoprotein subunit",53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2921,,membrane protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3324,,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase",53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_524,,"Na/Pi-cotransporter, putative",53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1607,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_2464,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_690,,putative hemagglutination activity domain containing protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1184,,2-oxoglutarate/malate translocator,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3381,flgD,Flagellar basal-body rod modification protein FlgD,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3694,,Carboxypeptidase,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3695,,Carboxypeptidase,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_1898,purB-2,Adenylosuccinate lyase,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3696,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
cysE_3,,Serine acetyltransferase,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3715,,Transporter protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3729,,putative CRISPR-associated protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_448,,hypothetical protein,53,0,356,128,12.95843521,100,inf,5.10E-07,0.002987091,2.58E-06,1,1,0,1,1
group_3419,,hypothetical protein,81,4,328,124,19.80440098,96.875,7.655487805,6.54E-07,0.003832649,3.31E-06,1,1,1,1,1
group_723,wcbK,"GDP-mannose 4,6-dehydratase",50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_588,,Inosine-uridine preferring nucleoside hydrolase family protein,50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_3493,,TonB-dependent colicin receptor protein,50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_781,,putative sugar transferase,50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_1945,,RloE,50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_3491,pyrC,"dihydroorotase, homodimeric type",50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_2396,,hypothetical protein,50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_26,pseD,PseD protein,50,0,359,128,12.22493888,100,inf,8.12E-07,0.004757563,4.08E-06,1,1,0,1,1
group_1178,,prophage Lp2 protein 6,207,96,202,32,50.61124694,25,0.341584158,8.37E-07,0.004908511,4.21E-06,1,1,1,1,1
group_1185,,"type I restriction-modification system, M subunit",51,0,358,128,12.46943765,100,inf,8.54E-07,0.005006602,4.28E-06,1,1,0,1,1
group_2888,wlaN,"beta-1,3 galactosyltransferase",51,0,358,128,12.46943765,100,inf,8.54E-07,0.005006602,4.28E-06,1,1,0,1,1
group_2366,,putative integral membrane protein,51,0,358,128,12.46943765,100,inf,8.54E-07,0.005006602,4.28E-06,1,1,0,1,1
group_2400,,hypothetical protein,51,0,358,128,12.46943765,100,inf,8.54E-07,0.005006602,4.28E-06,1,1,0,1,1
group_3103,,putative sugar nucleotidyltransferase,51,0,358,128,12.46943765,100,inf,8.54E-07,0.005006602,4.28E-06,1,1,0,1,1
maf7,,motility accessory factor,348,82,61,46,85.08557457,35.9375,3.200319872,8.81E-07,0.005164162,4.41E-06,1,1,1,1,1
group_1247,xerH,Tyrosine recombinase XerH,73,3,336,125,17.84841076,97.65625,9.052579365,9.28E-07,0.00544132,4.64E-06,1,1,1,1,1
group_196,,hypothetical protein,405,114,4,14,99.02200489,10.9375,12.43421053,1.34E-06,0.007825974,6.67E-06,1,1,1,1,1
group_3916,porA,Major outer membrane protein,55,43,354,85,13.44743276,66.40625,0.307121272,1.37E-06,0.008034385,6.84E-06,1,1,1,1,1
group_2401,,hypothetical protein,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
group_3484,,hypothetical protein,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
astA,,Arylsulfotransferase,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
group_937,,ABC transporter ATP-binding protein,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
group_85,,hypothetical protein,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
group_2980,,hypothetical protein,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
group_459,,hypothetical protein,48,0,361,128,11.73594132,100,inf,1.42E-06,0.008295534,7.02E-06,1,1,0,1,1
